Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
leukemia	71/1941	1.12543334857798e-11	4.42070219321431e-08	71	0.0365790829469346	EIF4A1;SPARC;HSP90AB1;NUMA1;DGKA;ITGB3;IL24;PTPRO;ITGA2B;PRF1;MPL;ITGAL;IKZF3;YBX3;AKAP13;LYL1;ZMIZ1;MYC;CCR7;CCR5;JAK1;MEN1;SRRM2;ST6GAL1;TSC22D1;TESC;HBA1;RUNX3;CLDN5;CD8A;LCK;ARHGEF1;ITGA6;HEMGN;DNMT1;VCP;LTK;KMT2A;FLII;HDC;MYCBP2;LEF1;KCNA3;GATA3;CXCR6;GATA2;TARP;PTGS1;MLLT6;P2RY8;CXCR3;IGF2BP2;BRD4;JAM3;BCL11B;ZBTB16;SIGLEC10;IGH;SMARCA4;HIPK2;SKI;DIAPH1;GFI1B;MEIS1;CD6;WNK1;IL2RB;CD27;LAT;LIMS1;PF4
Macrothrombocytopenia	9/29	4.15479027743097e-10	8.16000810487443e-07	9	0.310344827586207	DIAPH1;GFI1B;ITGB3;ACTN1;ITGA2B;TUBB1;FLNA;MYH9;GP1BA
Prolonged bleeding time	9/34	2.03007618361814e-09	2.60616798813812e-06	9	0.264705882352941	GFI1B;GP1BB;ITGB3;ITGA2B;MPL;MYH9;GP1BA;GATA2;GP6
Leukemia, Myelocytic, Acute	60/1703	2.71255362074166e-09	2.60616798813812e-06	60	0.0352319436288902	GPI;SPARC;HSP90AB1;CHD8;IL24;ITGA2B;PRF1;MPL;CHD4;ITGAL;YBX3;AKAP13;LYL1;MYC;ANXA6;CCR7;CCR5;JAK1;SRRM2;TSC22D1;TESC;CTDSPL;RUNX3;CDC25B;ITPKB;NCOR2;LCK;MYH9;ARHGEF1;ITGA6;ND4;HEMGN;DNMT1;KMT2A;SATB1;LEF1;KCNA3;ALOX12;GATA2;TSPAN33;MLLT6;EP400;GAS2L1;SPTBN1;BRD4;JAM3;BCL11B;ZBTB16;IGH;HIPK2;SKI;NELL2;EHD3;GFI1B;MEIS1;CD6;WNK1;AGO2;IL2RB;PF4
Platelet mean volume determination (procedure)	17/177	3.31742361015545e-09	2.60616798813812e-06	17	0.096045197740113	PROSER2;SLC24A3;ACTN1;ZBTB16;CHURC1-FNTB;TESC;ITGA2B;GP1BA;GP6;PEAR1;DIAPH1;EHD3;GFI1B;TUBB1;SEC14L5;TRIM58;LDLRAP1
Platelet distribution width measurement	14/120	6.74175269824015e-09	3.78308637124104e-06	14	0.116666666666667	HEMGN;ACTN1;GP1BA;GP6;PEAR1;SKI;EHD3;GFI1B;ZMIZ1;TUBB1;SEC14L5;TRIM58;ZNF831;RAB11FIP3
Platelet distribution width result	14/120	6.74175269824015e-09	3.78308637124104e-06	14	0.116666666666667	HEMGN;ACTN1;GP1BA;GP6;PEAR1;SKI;EHD3;GFI1B;ZMIZ1;TUBB1;SEC14L5;TRIM58;ZNF831;RAB11FIP3
Leukemogenesis	34/730	1.91992900593484e-08	8.52012865066719e-06	34	0.0465753424657534	DNMT1;HSP90AB1;KMT2A;FLII;ITGB3;PTPRO;LEF1;GATA3;CXCR6;GATA2;ITGAL;MLLT6;P2RY8;LYL1;CA2;MYC;CCR7;FBXO7;JAK1;BRD4;MEN1;SRRM2;BCL11B;TSC22D1;ZBTB16;IGH;RUNX3;SMARCA4;HIPK2;NCOR2;MEIS1;CD6;CD8A;EIF4G1
Autosomal dominant macrothrombocytopenia	5/7	1.95216796985755e-08	8.52012865066719e-06	5	0.714285714285714	GP1BB;ACTN1;ITGB3;ITGA2B;TUBB1
Acute leukemia	27/492	2.23813471938381e-08	8.7913931777396e-06	27	0.0548780487804878	HEMGN;DNMT1;HSP90AB1;KMT2A;FLII;LEF1;PRF1;MPL;GATA2;MLLT6;P2RY8;LYL1;MYC;CCR7;JAK1;MEN1;SRRM2;BCL11B;TESC;ZBTB16;RUNX3;CLDN5;MEIS1;CD6;IL2RB;MYH9;ANKRD36B
