Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
translation (GO:0006412)	38/214	9.41659241918825e-15	2.81838611106304e-11	38	0.177570093457944	RPL31;MRPS36;RPL34;MRPS33;RPL36A;MRPL36;RPL9;MRPL13;MRPL32;RPL7;MRPL11;MRPL3;RPS17;RPS15A;RPL35;RPL39;MRPS28;RWDD1;RPL41;RPL21;RPS7;RPL23;MRPL27;MRPL47;RPS3A;MRPS18C;RPS27;COPS5;RPS29;AGO2;RPL27;RPL22L1;EEF1E1;RPS21;RSL24D1;RPS24;RPL26L1;EIF4G1
peptide biosynthetic process (GO:0043043)	32/162	5.75269740861664e-14	8.60891167199481e-11	32	0.197530864197531	RPL31;MRPS36;RPL34;MRPS33;RPL36A;MRPL36;RPL9;MRPL13;MRPL32;RPL7;MRPL11;MRPL3;RPS17;RPS15A;RPL35;RPL39;RPL41;RPL21;RPS7;RPL23;MRPL27;RPS3A;MRPS18C;COPS5;RPS27;RPS29;AGO2;RPL27;RPS21;RSL24D1;RPS24;EIF4G1
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	22/90	5.7853168828244e-12	5.77181781009781e-09	22	0.244444444444444	SRP19;RPL41;RPL21;RPS7;RPL31;RPL34;RPL23;RPL36A;RPS3A;SRP14;RPL9;SRP9;RPL7;RPS17;RPS15A;RPS27;RPS29;RPL35;RPL27;RPL39;RPS21;RPS24
cytoplasmic translation (GO:0002181)	22/93	1.17194786400263e-11	7.34770969915998e-09	22	0.236559139784946	RWDD1;RPL41;RPL21;RPS7;RPL31;RPL34;RPL23;RPL36A;RPS3A;RPL9;RPL7;RPS17;RPS15A;RPS27;RPS29;RPL35;RPL27;RPL22L1;RPL39;RPS21;RPL26L1;RPS24
protein targeting to ER (GO:0045047)	23/103	1.43522137669715e-11	7.34770969915998e-09	23	0.223300970873786	SRP19;RPL41;RPL21;RPS7;RPL31;RPL34;RPL23;RPL36A;RPS3A;SRP14;RPL9;SRP9;RPL7;RPS17;RPS27;RPS15A;RPS29;RPL35;RPL27;MAN1A1;RPL39;RPS21;RPS24
cotranslational protein targeting to membrane (GO:0006613)	22/94	1.47297889057667e-11	7.34770969915998e-09	22	0.234042553191489	SRP19;RPL41;RPL21;RPS7;RPL31;RPL34;RPL23;RPL36A;RPS3A;SRP14;RPL9;SRP9;RPL7;RPS17;RPS15A;RPS27;RPS29;RPL35;RPL27;RPL39;RPS21;RPS24
cellular macromolecule biosynthetic process (GO:0034645)	39/314	3.97255304193915e-10	1.6985501792177e-07	39	0.124203821656051	RPL31;MRPS36;RPL34;MRPS33;RPL36A;MRPL36;RPL9;MRPL13;MRPL32;RPL7;MRPL11;ORC4;MRPL3;RPS17;RPS15A;RBBP8;RPL35;RPL39;POLR2K;RPL41;RPL21;RPS7;RMI1;RPL23;MRPL27;RPS3A;MRPS18C;THAP1;KIN;RPS27;COPS5;RPS29;RPA3;AGO2;RPL27;RPS21;RSL24D1;RPS24;EIF4G1
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	22/113	6.65094452132082e-10	2.48828461903915e-07	22	0.194690265486726	RPL41;RPL21;RPS7;RPL31;RPL34;RPL23;RPL36A;RPS3A;RPL9;RPL7;RPS17;RPS27;RPS15A;RPS29;MAGOH;RPL35;RPL27;EIF3E;RPL39;RPS21;RPS24;EIF4G1
mitochondrial translational elongation (GO:0070125)	18/89	1.26279859790506e-08	3.77955620352985e-06	18	0.202247191011236	MRPS28;MRPS36;MRPS33;MRPL27;MRPL36;MRPL47;MRPL48;MRPL15;MRPL13;MRPL32;MRPS18C;MRPL11;MRPL22;MRPL3;MRPL50;MRPL1;MRPL40;CHCHD1
mitochondrial translational termination (GO:0070126)	18/89	1.26279859790506e-08	3.77955620352985e-06	18	0.202247191011236	MRPS28;MRPS36;MRPS33;MRPL27;MRPL36;MRPL47;MRPL48;MRPL15;MRPL13;MRPL32;MRPS18C;MRPL11;MRPL22;MRPL3;MRPL50;MRPL1;MRPL40;CHCHD1
translational termination (GO:0006415)	18/96	4.3755608430601e-08	1.19055032757081e-05	18	0.1875	MRPS28;MRPS36;MRPS33;MRPL27;MRPL36;MRPL47;MRPL48;MRPL15;MRPL13;MRPL32;MRPS18C;MRPL11;MRPL22;MRPL3;MRPL50;MRPL1;MRPL40;CHCHD1
nuclear-transcribed mRNA catabolic process (GO:0000956)	24/171	9.46085291671686e-08	2.35969439831113e-05	24	0.140350877192982	RPL41;RPL21;RPS7;RPL31;RPL34;RPL23;LSM1;RPL36A;RPS3A;RPL9;RPL7;RPS17;RPS27;RPS15A;XRN1;RPS29;MAGOH;RPL35;RPL27;EIF3E;RPL39;RPS21;RPS24;EIF4G1
gene expression (GO:0010467)	37/356	1.32026512260023e-07	3.03965654764806e-05	37	0.103932584269663	RPL31;MRPS36;RPL34;MRPS33;RPL36A;MRPL36;RPL9;MRPL13;MRPL32;RPL7;MRPL11;MRPL3;RPS17;RPS15A;MAGOH;RPL35;RPL39;POLR2K;NUP214;RPL41;RPL21;RPS7;RPL23;MRPL27;RPS3A;MRPS18C;THAP1;RPS27;COPS5;RPS29;SARNP;AGO2;RPL27;RPS21;RSL24D1;RPS24;EIF4G1
translational elongation (GO:0006414)	18/104	1.57129666259112e-07	3.35920779366801e-05	18	0.173076923076923	MRPS28;MRPS36;MRPS33;MRPL27;MRPL36;MRPL47;MRPL15;MRPL48;MRPL13;MRPL32;MRPS18C;MRPL11;MRPL22;MRPL3;MRPL50;MRPL1;MRPL40;CHCHD1
mitochondrial translation (GO:0032543)	18/105	1.82629937385893e-07	3.64407601730652e-05	18	0.171428571428571	MRPS28;MRPS36;MRPS33;MRPL27;MRPL36;MRPL47;MRPL15;MRPL48;MRPL13;MRPL32;MRPS18C;MRPL11;MRPL22;MRPL3;MRPL50;MRPL1;MRPL40;CHCHD1
aerobic electron transport chain (GO:0019646)	14/70	6.03496464530679e-07	0.00011289155739627	14	0.2	COX7B;NDUFA6;UQCRB;NDUFA5;NDUFA4;NDUFB3;NDUFB2;NDUFA1;NDUFB1;UQCR11;COX6C;COX7C;UQCRQ;NDUFS4
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	14/71	7.24255559372753e-07	0.000127511581717803	14	0.197183098591549	COX7B;NDUFA6;UQCRB;NDUFA5;NDUFA4;NDUFB3;NDUFB2;NDUFA1;NDUFB1;UQCR11;COX6C;COX7C;UQCRQ;NDUFS4
neutrophil degranulation (GO:0043312)	43/481	8.7453135805169e-07	0.000145415130813817	43	0.0893970893970894	ORM1;MS4A3;TNFAIP6;CLEC12A;GMFG;CRISP3;HP;SRP14;PRDX4;CREG1;S100A12;ITGAV;CD58;ATP6V1D;CAMP;ATP8B4;PTPRN2;DYNLT1;ANXA3;ARG1;AGL;DEFA4;COMMD3;GGH;MCEMP1;DEFA1;RNASE2;OLFM4;VAMP8;RAP2C;BST1;VAMP7;CLEC4D;VNN1;FABP5;SLPI;PSMA2;S100P;CEACAM8;YPEL5;LAMTOR3;S100A9;S100A8
