Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
chemokine binding (GO:0019956)	6/32	9.50860940208975e-06	0.00336604772833977	6	0.1875	ITGB3;CXCR3;CCR7;CXCR6;CCR5;CCR10
C-C chemokine receptor activity (GO:0016493)	5/23	2.54067758266211e-05	0.00373817185957213	5	0.217391304347826	CXCR3;CCR7;CXCR6;CCR5;CCR10
C-C chemokine binding (GO:0019957)	5/24	3.16794225387468e-05	0.00373817185957213	5	0.208333333333333	CXCR3;CCR7;CXCR6;CCR5;CCR10
chemokine receptor activity (GO:0004950)	5/26	4.77735251075548e-05	0.0042279569720186	5	0.192307692307692	CXCR3;CCR7;CXCR6;CCR5;CCR10
RNA cap binding (GO:0000339)	4/19	0.000196474103168845	0.0118560360153421	4	0.210526315789474	CYFIP2;EIF4A1;LARP1;AGO2
cadherin binding (GO:0045296)	15/322	0.0002009497629719	0.0118560360153421	15	0.046583850931677	HSP90AB1;PTPRO;PRDX6;PDLIM1;LARP1;CTTN;PI4KA;FLNA;MYH9;DCHS1;UBAP2;ITGA6;WASF2;SPTBN1;VCL
acetylation-dependent protein binding (GO:0140033)	4/21	0.00029591101853652	0.013094062570241	4	0.19047619047619	KMT2A;CARM1;SMARCA4;BRD4
lysine-acetylated histone binding (GO:0070577)	4/21	0.00029591101853652	0.013094062570241	4	0.19047619047619	KMT2A;CARM1;SMARCA4;BRD4
nuclear receptor binding (GO:0016922)	8/120	0.000645965990452466	0.0254079956244637	8	0.0666666666666667	NCOR2;MED25;THRAP3;TGFB1I1;LEF1;ACTN4;GAS2L1;SMARCA4
C2H2 zinc finger domain binding (GO:0070742)	3/12	0.000773211766773474	0.027371696543781	3	0.25	SRRM2;LEF1;GATA2
RNA 7-methylguanosine cap binding (GO:0000340)	3/13	0.000993457708441055	0.0319712753443758	3	0.230769230769231	CYFIP2;LARP1;AGO2
nuclear receptor coactivator activity (GO:0030374)	5/53	0.00147162962613124	0.0434130739708715	5	0.0943396226415094	ZMIZ1;THRAP3;ACTN1;CARM1;ACTN4
